drug_name,num_prescriber,total_cost
RENVELA,1,58167
LANTUS,1,58106
NAMENDA XR,1,57973
PREZISTA,1,57968
ABILIFY,1,57625
NAMENDA XR,1,57176
XARELTO,1,57096
JANUMET,1,56731
XARELTO,1,56302
OXYCODONE-ACETAMINOPHEN,1,56219
NOVOLOG FLEXPEN,1,56118
LEVEMIR FLEXTOUCH,1,55934
ACTEMRA,1,55873
NEXIUM,1,55529
TRUVADA,1,55447
CUBICIN,1,54624
ZETIA,1,54506
SENSIPAR,1,54437
LANTUS,1,54355
LYRICA,1,53655
EXELON,1,53635
LYRICA,1,53543
ISENTRESS,1,53392
RESTASIS,1,53364
SYMBICORT,1,53357
JANUVIA,1,53290
SENSIPAR,1,53160
REYATAZ,1,52846
LANTUS SOLOSTAR,3,52558
SPIRIVA RESPIMAT,1,52404
LIDOCAINE,1,51956
PROPAFENONE HCL ER,1,51787
CRESTOR,1,51673
XARELTO,2,51433
LANTUS SOLOSTAR,1,51248
LANTUS,1,51183
NOVOLOG,1,51036
INVEGA SUSTENNA,1,51002
LANTUS SOLOSTAR,1,50876
ABILIFY,1,50663
XARELTO,1,50198
ELIQUIS,1,50066
XARELTO,1,49836
CIMZIA,1,49439
ADVAIR DISKUS,1,49358
SENSIPAR,1,49286
ADVAIR DISKUS,1,49238
LEVEMIR,1,49110
JANUVIA,1,48926
HUMIRA PEN,1,48660
LUMIGAN,1,48237
COMBIVENT RESPIMAT,1,48181
CRESTOR,1,48143
CARBIDOPA-LEVODOPA,1,47972
OXYCONTIN,1,47893
VICTOZA 3-PAK,2,47706
SPIRIVA,1,47536
CELECOXIB,1,47497
KEPPRA,1,47285
NUEDEXTA,1,47093
SPIRIVA,1,46995
HUMIRA,1,46906
LANTUS SOLOSTAR,1,46755
VALGANCICLOVIR HCL,1,46709
ATRIPLA,1,46064
TRADJENTA,1,46033
KETOPROFEN,1,45839
SPIRIVA,1,45822
COMPLERA,1,45810
LEVEMIR FLEXTOUCH,1,45687
MORPHINE SULFATE ER,1,45454
LEVEMIR FLEXTOUCH,1,45136
RESTASIS,1,44983
CUBICIN,1,44597
XIFAXAN,1,44531
CRESTOR,1,44435
NOVOLOG FLEXPEN,1,44409
CRESTOR,1,44344
JANUVIA,1,44342
XARELTO,1,44206
NOVOLOG MIX 70-30 FLEXPEN,1,44128
LEVEMIR FLEXTOUCH,1,44028
LYRICA,1,43983
ABILIFY MAINTENA,1,43824
GLUMETZA,1,43737
PREZISTA,1,43674
ELIQUIS,1,43519
LANTUS SOLOSTAR,1,43475
TRAVATAN Z,1,43250
COMPLERA,1,43122
REYATAZ,1,42961
LANTUS,1,42842
CRESTOR,1,42736
SENSIPAR,1,42688
HUMIRA,1,42293
EXELON,1,42172
METHOTREXATE,1,42162
PROCRIT,1,41442
MULTAQ,1,41391
ADVAIR DISKUS,1,41391
NEVANAC,1,41327
LANTUS SOLOSTAR,1,41303
LANTUS,1,41124
SPIRIVA,1,41121
VIAGRA,1,41078
COMBIGAN,1,40948
DIVALPROEX SODIUM ER,1,40742
HYDROCODONE-ACETAMINOPHEN,1,40619
SPIRIVA,1,40513
LANTUS SOLOSTAR,1,40370
TRAVATAN Z,1,40268
LANTUS,1,40247
XGEVA,1,40231
FORTEO,1,40174
XELJANZ,1,40080
LANTUS,1,40060
LEVEMIR FLEXTOUCH,1,40055
HUMALOG,1,39970
TRADJENTA,1,39908
ADVAIR DISKUS,1,39678
CRESTOR,1,39645
GAMUNEX-C,1,39561
HUMIRA PEN,1,39459
SANTYL,1,39268
JANUVIA,1,39243
CRESTOR,1,39114
LYRICA,1,39027
VICTOZA 3-PAK,1,38892
LANTUS SOLOSTAR,3,38886
SYMBICORT,1,38869
CRESTOR,1,38812
ZETIA,1,38629
EXALGO,1,38545
TIKOSYN,1,38490
SYNTHROID,2,38257
ENBREL,1,38173
NOVOLOG MIX 70-30 FLEXPEN,1,38079
NEXIUM,1,38053
ATRIPLA,1,38049
HUMIRA PEN,1,38014
LIALDA,1,37859
XARELTO,3,37788
DALIRESP,1,37560
LANTUS,1,37513
CRESTOR,1,37468
CLOBETASOL PROPIONATE,1,37415
LANTUS SOLOSTAR,1,37285
LYRICA,1,37011
SPIRIVA,1,36997
FINASTERIDE,1,36942
ABILIFY,1,36902
ADVAIR DISKUS,1,36876
SUSTIVA,1,36758
FUSILEV,1,36710
VIMPAT,1,36691
STRIBILD,1,36674
WELLBUTRIN XL,1,36672
NOVOLOG,1,36456
LANTUS SOLOSTAR,1,36376
ADVAIR DISKUS,1,36229
MODAFINIL,1,36124
ZETIA,1,35882
ADVAIR DISKUS,1,35755
RESTASIS,1,35609
NEUPRO,1,35496
ZETIA,2,35480
LEVEMIR FLEXTOUCH,1,35423
XIFAXAN,1,35341
VICTOZA 3-PAK,1,35327
LEVEMIR FLEXTOUCH,1,35302
HUMIRA PEN,1,35298
VOLTAREN,1,35132
LANTUS,1,35058
GLUMETZA,1,34584
NEXIUM,1,34465
ADVAIR DISKUS,1,34407
LANTUS,1,34356
LYRICA,1,34347
FORTEO,1,34315
LAMOTRIGINE ER,1,34228
HYDROCODONE-ACETAMINOPHEN,1,34182
NOVOLOG MIX 70-30,1,34024
JANUVIA,1,33937
ARIPIPRAZOLE,1,33819
JANUVIA,1,33798
NEXIUM,1,33751
DEXILANT,1,33734
VICTOZA 3-PAK,1,33703
JANUMET,1,33671
FORTEO,1,33564
OXYCONTIN,1,33488
HUMALOG MIX 50-50 KWIKPEN,1,33487
NEXIUM,1,33428
LEVEMIR,1,33235
JANUVIA,1,33230
NOVOLOG FLEXPEN,1,33224
ADVAIR DISKUS,1,33037
BUDESONIDE EC,1,32910
INVEGA SUSTENNA,1,32810
LETAIRIS,1,32792
LYRICA,1,32792
NOVOLOG MIX 70-30 FLEXPEN,1,32767
JANUVIA,1,32643
PREMARIN,1,32590
LANTUS SOLOSTAR,1,32552
XARELTO,1,32551
LYRICA,1,32472
SYMBICORT,1,32451
FORTEO,1,32349
LANTUS,1,32308
NAMENDA,1,31937
SYMBICORT,1,31916
NEXIUM,1,31781
ACTEMRA,1,31751
OXYCONTIN,1,31690
LANTUS SOLOSTAR,1,31614
VELPHORO,1,31568
ABILIFY,1,31522
LINZESS,1,31520
DEXILANT,1,31498
CRESTOR,1,31464
CRESTOR,2,31440
MYRBETRIQ,1,31314
TIKOSYN,1,31296
LYRICA,1,31154
ABILIFY,1,31077
ONGLYZA,1,30961
HUMALOG,1,30955
LYRICA,1,30910
EXELON,1,30906
CHLORPROMAZINE HCL,1,30905
LANTUS SOLOSTAR,1,30864
RENVELA,1,30712
LEVEMIR FLEXTOUCH,1,30655
NEXIUM,1,30405
LANTUS SOLOSTAR,1,30338
CRESTOR,1,30310
CRESTOR,1,30306
LANTUS SOLOSTAR,1,30299
ADVAIR DISKUS,1,30278
RISPERDAL CONSTA,1,30277
FORTEO,1,30210
ELIQUIS,1,30134
DOCETAXEL,1,30100
CRESTOR,1,29954
NAMENDA XR,1,29916
ELIQUIS,1,29894
LANTUS,1,29872
NAMENDA XR,1,29858
TRAVATAN Z,1,29840
ADVAIR DISKUS,1,29772
LATUDA,1,29746
RANEXA,1,29721
ADVAIR DISKUS,1,29704
PRADAXA,1,29647
NEXIUM,1,29493
NAMENDA XR,1,29469
ADVAIR DISKUS,1,29469
INVEGA SUSTENNA,1,29453
LANTUS,1,29451
PROLENSA,1,29415
ATORVASTATIN CALCIUM,1,29410
CRESTOR,1,29404
ELIQUIS,1,29261
DICLOFENAC SODIUM,1,29181
EPZICOM,1,29175
NOVOLOG MIX 70-30 FLEXPEN,1,29060
LEVEMIR FLEXTOUCH,1,29005
HUMATROPE,1,28981
INVEGA,1,28941
GABAPENTIN,1,28790
REYATAZ,1,28722
ABILIFY,1,28702
HYDROCODONE-ACETAMINOPHEN,1,28489
NUVIGIL,1,28472
APIDRA SOLOSTAR,1,28464
LIDOCAINE-PRILOCAINE,1,28405
SPIRIVA,1,28389
NAMENDA,1,28383
VICTOZA 3-PAK,1,28352
CLOBETASOL PROPIONATE,1,28351
CRESTOR,4,28342
LANTUS SOLOSTAR,1,28322
VESICARE,1,28260
HUMALOG,1,27988
FINASTERIDE,1,27983
SPIRIVA,1,27961
NAMENDA,1,27950
PREZISTA,1,27909
LANTUS,1,27909
APRISO,1,27844
FORTEO,1,27802
ZYPREXA,1,27758
LINZESS,1,27681
LANTUS SOLOSTAR,1,27652
SANCUSO,1,27598
EXELON,1,27584
BRILINTA,1,27572
CRESTOR,1,27555
NEXIUM,1,27532
ADVAIR DISKUS,1,27494
VICTOZA 3-PAK,2,27463
HUMALOG MIX 75-25 KWIKPEN,1,27251
LYRICA,1,27081
LYRICA,1,27038
XARELTO,1,26919
JANUVIA,1,26906
PROAIR HFA,1,26867
CHLORPROMAZINE HCL,1,26827
LANTUS SOLOSTAR,1,26795
BOTOX,1,26767
LIDOCAINE,1,26752
XARELTO,1,26741
LANTUS SOLOSTAR,1,26719
SENSIPAR,1,26697
OPANA ER,1,26674
LANTUS,1,26661
SYMBICORT,1,26649
NOVOLOG FLEXPEN,1,26635
CRESTOR,1,26460
HYDROXYCHLOROQUINE SULFATE,1,26441
PENTASA,1,26435
LYRICA,1,26420
INVEGA SUSTENNA,1,26406
TUDORZA PRESSAIR,1,26370
CARBAMAZEPINE,1,26352
MULTAQ,1,26296
DULOXETINE HCL,1,26230
HUMALOG KWIKPEN U-100,1,26204
LINZESS,1,26157
RELISTOR,1,26155
LANTUS,1,26042
LYRICA,4,25845
RENVELA,1,25760
CREON,1,25711
NEXIUM,1,25639
LANTUS SOLOSTAR,1,25617
OXYCODONE-ACETAMINOPHEN,1,25605
LANTUS SOLOSTAR,1,25591
LEVEMIR FLEXTOUCH,3,25544
AZOR,1,25535
RESTASIS,1,25508
VIREAD,1,25432
NEXIUM,1,25418
LUMIGAN,1,25393
ULORIC,1,25315
ADVAIR DISKUS,1,25230
JANUMET XR,1,25099
CRESTOR,1,25086
LANTUS SOLOSTAR,1,25079
NOVOLOG MIX 70-30,1,25054
PRADAXA,1,25050
INVOKANA,1,25044
HUMALOG KWIKPEN U-100,1,25022
OTEZLA,1,24966
JANUVIA,1,24942
ATROVENT HFA,1,24866
ONGLYZA,1,24864
CRESTOR,1,24812
DULOXETINE HCL,1,24724
RENAGEL,1,24647
INVOKANA,1,24625
LYRICA,1,24601
OXYCONTIN,1,24578
RESTASIS,1,24523
ASACOL HD,1,24513
XARELTO,1,24513
RANEXA,1,24432
TRADJENTA,1,24414
XIFAXAN,1,24344
JANUMET,1,24326
SENSIPAR,1,24319
CRESTOR,1,24288
CRESTOR,1,24287
MYRBETRIQ,1,24251
ARIPIPRAZOLE,1,24186
JANUMET,1,24137
DEXILANT,1,24105
LANTUS SOLOSTAR,1,24105
JANUVIA,1,24104
ISENTRESS,1,23993
CRESTOR,1,23993
INVEGA,1,23988
SEROQUEL XR,1,23926
WELCHOL,1,23903
DEXILANT,1,23848
ANDROGEL,1,23819
PROSOL,1,23725
NOVOLOG FLEXPEN,1,23663
MODAFINIL,1,23646
JANUVIA,2,23628
LANTUS SOLOSTAR,1,23561
TIKOSYN,1,23553
LANTUS,1,23536
NEXIUM,1,23529
PROMACTA,1,23521
NOVOLOG FLEXPEN,1,23435
NORVIR,1,23402
HUMALOG KWIKPEN U-100,1,23392
JANUVIA,1,23385
CRESTOR,1,23318
NOVOLOG,1,23281
CRESTOR,1,23271
SENSIPAR,1,23247
ELIQUIS,1,23240
SPIRIVA,1,23238
HUMALOG,1,23207
SEROQUEL XR,1,23181
ZETIA,1,23171
LEVEMIR FLEXTOUCH,3,23129
LYRICA,1,23021
SPIRIVA,1,23013
ADVAIR DISKUS,1,23010
SPIRIVA,1,22952
LANTUS,1,22938
CRESTOR,1,22886
ABILIFY,1,22843
LIDOCAINE,1,22835
COMBIVENT RESPIMAT,1,22759
JANUVIA,1,22747
ABILIFY,1,22715
PREMARIN,1,22627
TACROLIMUS,1,22548
NOVOLOG,1,22548
SPIRIVA,1,22523
SEROQUEL XR,1,22519
SPIRIVA,1,22513
XARELTO,1,22439
ZETIA,1,22372
PREZCOBIX,1,22364
CRESTOR,1,22360
NAMENDA XR,1,22360
NASONEX,1,22329
ABILIFY,1,22313
VICTOZA 3-PAK,1,22287
CREON,1,22274
CRESTOR,1,22256
HUMULIN R U-500,1,22242
PRADAXA,1,22191
ENOXAPARIN SODIUM,1,22190
SPIRIVA,1,22172
PROCRIT,1,22164
NOVOLOG,1,22149
ZYPREXA RELPREVV,1,22049
MULTAQ,1,22036
HUMALOG,1,21968
RESTASIS,1,21952
CRESTOR,1,21875
PROLIA,1,21845
JANUVIA,1,21837
NEXIUM,1,21815
HUMALOG,1,21810
SEROQUEL XR,1,21808
COPAXONE,1,21797
XARELTO,1,21765
RANEXA,1,21765
REPAGLINIDE,1,21764
PREMARIN,1,21676
ABILIFY,1,21676
CRESTOR,1,21639
PROLIA,1,21633
ATORVASTATIN CALCIUM,1,21559
LANTUS,1,21536
SYMBICORT,1,21535
SILDENAFIL,1,21512
CREON,1,21503
NEXIUM,1,21501
NEXIUM,1,21428
SEROQUEL XR,1,21404
VICTOZA 3-PAK,1,21397
AMANTADINE,1,21384
NAMENDA,1,21383
ENOXAPARIN SODIUM,1,21353
NOVOLOG FLEXPEN,1,21349
CRESTOR,1,21331
COMBIGAN,1,21319
XARELTO,1,21289
NOVOLIN 70-30,1,21262
CHLORPROMAZINE HCL,1,21222
WELCHOL,1,21218
EFFIENT,1,21212
LANTUS SOLOSTAR,1,21207
CRESTOR,1,21194
LYRICA,1,21137
ISENTRESS,1,21124
CIALIS,1,21091
HUMULIN N,1,21087
LANTUS,1,21081
XARELTO,1,21049
INVOKANA,1,20983
VIREAD,1,20938
INVOKANA,1,20929
METOPROLOL SUCCINATE,3,20916
CLOBETASOL PROPIONATE,1,20915
OXYCODONE HCL,1,20915
NAMENDA XR,1,20914
LANTUS SOLOSTAR,1,20894
NAMENDA XR,1,20880
NOVOLOG,2,20835
NOVOLOG MIX 70-30 FLEXPEN,1,20830
SUPREP,1,20778
LANTUS SOLOSTAR,1,20758
RESTASIS,1,20753
OXYCONTIN,1,20700
MYRBETRIQ,1,20677
LEVEMIR FLEXTOUCH,1,20645
OXYCODONE HCL,1,20626
JANUMET,1,20587
ARIPIPRAZOLE,1,20568
RANEXA,1,20533
POTASSIUM CHLORIDE,1,20528
GAMMAGARD LIQUID,1,20528
CRESTOR,1,20492
FENTANYL,1,20422
LANTUS SOLOSTAR,1,20331
ELIQUIS,1,20296
ANDROGEL,1,20291
LEVEMIR FLEXTOUCH,1,20258
ADVAIR DISKUS,1,20232
ULORIC,1,20226
NOVOLOG MIX 70-30 FLEXPEN,1,20220
RESTASIS,1,20184
HUMALOG,1,20175
LINZESS,1,20171
KETOCONAZOLE,1,20163
CRESTOR,1,20125
LANTUS,1,20117
LEVEMIR,1,20105
LIDODERM,1,20097
ADVAIR DISKUS,1,20075
PREDNISONE,3,20068
JANUVIA,1,20058
LANTUS SOLOSTAR,1,20049
LATUDA,1,20038
RANEXA,1,20037
NOVOLOG,2,20027
OXYCONTIN,1,20012
XARELTO,1,19987
NEXIUM,1,19839
ZETIA,1,19839
NOVOLOG FLEXPEN,2,19825
TOUJEO SOLOSTAR,1,19794
ADVAIR DISKUS,1,19727
TOUJEO SOLOSTAR,1,19725
PROCRIT,1,19720
CRESTOR,1,19699
OXYCODONE-ACETAMINOPHEN,1,19677
SEROQUEL XR,1,19669
VICTOZA 3-PAK,1,19646
HUMALOG,1,19640
INVOKANA,2,19640
ASACOL HD,1,19638
ADVAIR DISKUS,1,19629
LIALDA,1,19616
PROAIR HFA,1,19609
FENTANYL,1,19605
NOVOLOG,1,19604
SPIRIVA,1,19597
COLCRYS,1,19593
EFFIENT,1,19562
LANTUS,1,19546
CRESTOR,1,19508
VALSARTAN,1,19497
INVOKANA,1,19476
ADVAIR DISKUS,1,19473
NOVOLOG,1,19425
CRESTOR,1,19401
JANUVIA,1,19362
SYMBICORT,1,19355
ELIQUIS,1,19350
CRESTOR,1,19345
INTELENCE,1,19327
INVANZ,1,19316
INVOKANA,2,19314
CRESTOR,1,19298
ASACOL HD,1,19250
OXYCONTIN,1,19215
RAPAFLO,1,19214
LANTUS,1,19207
BYDUREON,1,19207
JANUVIA,1,19187
XARELTO,1,19180
LANTUS,1,19180
JANUVIA,1,19148
BENICAR HCT,1,19073
LANTUS SOLOSTAR,1,19061
CRESTOR,1,19048
DULERA,1,19047
RANEXA,1,19037
NEXIUM,1,19035
CARBIDOPA-LEVODOPA-ENTACAPONE,1,19035
OXYCONTIN,1,19018
CRESTOR,1,19010
INVOKANA,1,19004
JANUVIA,1,18991
CRESTOR,1,18956
RISPERDAL CONSTA,1,18920
HUMALOG MIX 50-50,1,18912
LANTUS SOLOSTAR,1,18908
ABILIFY,1,18858
TRADJENTA,1,18852
COMBIVENT RESPIMAT,1,18848
CRESTOR,1,18845
HYDROCODONE-ACETAMINOPHEN,1,18840
CRESTOR,1,18824
NEXIUM,1,18804
ARANESP,1,18804
NOVOLOG FLEXPEN,1,18800
INVEGA SUSTENNA,1,18781
JENTADUETO,1,18752
LANTUS SOLOSTAR,1,18738
AZELASTINE HCL,1,18725
XARELTO,1,18716
CLOBETASOL PROPIONATE,1,18710
PROAIR HFA,1,18691
FORADIL,1,18666
CRESTOR,1,18658
OXTELLAR XR,1,18607
DIVALPROEX SODIUM ER,1,18588
OLANZAPINE,1,18579
NEXIUM,1,18555
LEVEMIR,1,18549
LOTEMAX,1,18538
ADVAIR DISKUS,1,18528
LANTUS,1,18515
INVOKANA,1,18501
LEVOTHYROXINE SODIUM,1,18483
ADVAIR DISKUS,1,18472
RESTASIS,1,18469
TRUVADA,1,18373
CRESTOR,1,18335
NEXIUM,1,18306
OPANA ER,1,18297
JANUVIA,1,18283
ELIQUIS,1,18264
MULTAQ,1,18227
LATUDA,1,18216
LANTUS,1,18190
CRESTOR,1,18183
JANUVIA,1,18166
XIFAXAN,1,18158
TAMSULOSIN HCL,2,18148
SPIRIVA,1,18139
REGRANEX,1,18136
NEXIUM,1,18134
DEXILANT,1,18128
ADVAIR DISKUS,1,18128
DONEPEZIL HCL,1,18113
NAMENDA XR,1,18105
CRESTOR,1,18012
VESICARE,1,18008
ADVAIR DISKUS,1,17984
HUMALOG KWIKPEN U-100,1,17965
INVEGA,1,17962
VESICARE,1,17962
XARELTO,1,17928
CRESTOR,1,17900
CRESTOR,1,17898
BYSTOLIC,1,17896
MYCOPHENOLATE MOFETIL,1,17877
DULOXETINE HCL,1,17862
SPIRIVA RESPIMAT,1,17857
ABILIFY,1,17842
LANTUS,1,17826
NEXIUM,1,17819
NEXIUM,1,17816
OXYCONTIN,1,17812
TIAGABINE HCL,1,17787
SPIRIVA,1,17787
LANTUS,1,17780
ADVAIR DISKUS,1,17763
JANUVIA,1,17757
COMBIVENT RESPIMAT,1,17747
CRESTOR,1,17733
JANUVIA,1,17720
INVEGA,1,17717
LANTUS SOLOSTAR,1,17710
JANUVIA,1,17679
SYMBICORT,1,17668
XIFAXAN,1,17659
OMEGA-3 ACID ETHYL ESTERS,1,17644
NEXIUM,1,17633
REYATAZ,1,17629
LYRICA,1,17619
LEVEMIR FLEXTOUCH,1,17602
ADVAIR DISKUS,1,17590
LAMOTRIGINE ER,1,17557
EXELON,1,17552
ADVAIR DISKUS,1,17534
LYRICA,1,17529
DEXILANT,1,17517
ADVAIR DISKUS,1,17512
PREZISTA,1,17501
BREO ELLIPTA,1,17485
RIBASPHERE RIBAPAK,1,17484
HUMALOG KWIKPEN U-100,1,17451
NOVOLOG,1,17446
SPIRIVA,2,17444
SPIRIVA,1,17432
JANUVIA,1,17426
CRESTOR,1,17422
NEXIUM,1,17384
NUCYNTA ER,1,17346
LANTUS SOLOSTAR,2,17344
URSODIOL,1,17300
HYDROXYCHLOROQUINE SULFATE,1,17299
ABILIFY,1,17249
ABILIFY,1,17237
LYRICA,1,17228
SPIRIVA,1,17224
NAMENDA XR,1,17216
VIGAMOX,1,17175
JANUVIA,2,17171
LYRICA,1,17157
LANTUS,1,17143
TIVICAY,1,17142
NEXIUM,1,17140
METOPROLOL SUCCINATE,1,17118
PRADAXA,1,17095
ADVAIR DISKUS,1,17075
NOVOLIN N,1,17073
LYRICA,1,17052
SYMBICORT,1,17009
OPANA ER,1,16956
XARELTO,1,16943
TRAVATAN Z,1,16923
CRESTOR,1,16921
EXELON,1,16895
DULOXETINE HCL,1,16889
AMITIZA,1,16819
XARELTO,1,16796
CREON,1,16795
DULOXETINE HCL,1,16786
VICTOZA 3-PAK,1,16772
MYRBETRIQ,1,16769
MYCOPHENOLIC ACID,1,16736
TRADJENTA,1,16714
HYDROCODONE-ACETAMINOPHEN,1,16714
JANUVIA,1,16710
SPIRIVA,1,16710
NAMENDA,1,16703
ATORVASTATIN CALCIUM,1,16694
NOVOLOG MIX 70-30 FLEXPEN,1,16690
FLUOCINOLONE ACETONIDE,2,16680
VICTOZA 3-PAK,1,16671
CRESTOR,1,16660
WELCHOL,1,16660
ZETIA,1,16640
ULORIC,1,16622
ZETIA,1,16620
CRESTOR,1,16618
NEXIUM,1,16585
FENOFIBRATE,2,16560
ZETIA,1,16516
INVOKANA,1,16479
ABILIFY,1,16450
ESOMEPRAZOLE MAGNESIUM,1,16441
ZEGERID,1,16412
LANTUS,1,16407
AGGRENOX,1,16392
NEXIUM,1,16390
ARIPIPRAZOLE,1,16371
NAMENDA,1,16369
ABILIFY,1,16367
LYRICA,1,16350
EXELON,1,16342
CRESTOR,1,16301
PRISTIQ ER,1,16294
NAMENDA XR,1,16281
GATIFLOXACIN,1,16269
RISPERDAL CONSTA,1,16266
LYRICA,1,16225
NAMENDA,1,16178
INTELENCE,1,16161
CRESTOR,1,16160
LIALDA,1,16114
INVEGA,1,16110
AZOR,1,16106
ABILIFY,1,16085
LANTUS SOLOSTAR,1,16082
ANORO ELLIPTA,1,16074
CRESTOR,1,16065
CALCITRIOL,1,16042
NEXIUM,1,15957
NOVOLOG MIX 70-30 FLEXPEN,1,15949
XARELTO,1,15941
OXYCONTIN,1,15922
DULOXETINE HCL,1,15906
MYCAMINE,1,15862
CRESTOR,1,15860
PREZISTA,1,15851
AMITIZA,1,15835
DULOXETINE HCL,1,15832
SYMBICORT,1,15827
SENSIPAR,1,15816
FLOVENT HFA,1,15814
ADVAIR DISKUS,1,15766
NEXIUM,1,15741
SEROQUEL XR,1,15737
TIKOSYN,1,15712
ABILIFY,1,15684
HUMALOG MIX 75-25 KWIKPEN,1,15678
POTASSIUM CHLORIDE,1,15670
LEVOTHYROXINE SODIUM,1,15640
OMEPRAZOLE,1,15630
RANEXA,1,15625
NOVOLOG FLEXPEN,1,15614
LANTUS,1,15601
